event_id,user_id,event_created_date,event_scheduled_date,event_completed_date,event_organizer_id,event_status
367562,1461680,3/22/2022 6:00:00,4/4/2022 6:00:00,4/4/2022 6:35:54,454,Completed
367563,1455858,3/23/2022 6:00:00,3/29/2022 6:00:00,3/29/2022 6:31:14,467,Completed
367564,1460405,3/24/2022 6:00:00,4/6/2022 6:00:00,4/6/2022 6:56:55,437,Completed
367565,1456770,3/26/2022 12:00:00,4/2/2022 12:00:00,4/2/2022 12:48:49,472,Completed
367566,1460867,3/27/2022 3:00:00,4/5/2022 3:00:00,4/5/2022 3:49:38,466,Completed
367567,1458016,3/28/2022 3:00:00,4/1/2022 3:00:00,4/1/2022 3:38:30,451,Completed
367568,1459255,3/28/2022 3:00:00,4/2/2022 3:00:00,4/2/2022 3:55:04,459,Completed
367569,1458518,3/29/2022 3:00:00,4/6/2022 3:00:00,,468,Cancelled
367570,1455507,3/29/2022 12:00:00,4/1/2022 12:00:00,4/1/2022 12:53:35,437,Completed
367571,1458088,3/30/2022 1:30:00,4/12/2022 1:30:00,4/12/2022 2:01:14,451,Completed
367572,1458088,4/2/2022 6:00:00,4/14/2022 6:00:00,4/14/2022 6:34:21,451,Completed
367573,1460373,4/2/2022 12:00:00,4/12/2022 12:00:00,4/12/2022 12:55:55,463,Completed
367574,1456368,4/3/2022 1:30:00,4/15/2022 1:30:00,4/15/2022 2:12:54,460,Completed
367575,1463639,4/4/2022 1:30:00,4/18/2022 1:30:00,4/18/2022 2:24:28,464,Completed
367576,1455302,4/4/2022 3:00:00,4/10/2022 3:00:00,4/10/2022 3:40:47,442,Completed
367577,1458016,4/4/2022 12:00:00,4/13/2022 12:00:00,4/13/2022 12:57:18,451,Completed
367578,1456070,4/6/2022 12:00:00,4/16/2022 12:00:00,4/16/2022 12:55:00,456,Completed
367579,1460215,4/7/2022 6:00:00,4/16/2022 6:00:00,4/16/2022 6:32:29,457,Completed
367580,1458088,4/7/2022 12:00:00,4/14/2022 12:00:00,4/14/2022 12:53:14,451,Completed
367581,1455507,4/8/2022 12:00:00,4/22/2022 12:00:00,,437,No show
367582,1463698,4/9/2022 1:30:00,4/16/2022 1:30:00,4/16/2022 2:09:37,449,Completed
367583,1460373,4/9/2022 3:00:00,4/18/2022 3:00:00,4/18/2022 3:52:25,463,Completed
367584,1455302,4/9/2022 6:00:00,4/20/2022 6:00:00,4/20/2022 6:31:56,442,Completed
367585,1460405,4/9/2022 12:00:00,4/22/2022 12:00:00,4/22/2022 12:47:05,437,Completed
367586,1457452,4/10/2022 3:00:00,4/12/2022 3:00:00,4/12/2022 3:40:36,458,Completed
367587,1459255,4/10/2022 3:00:00,4/16/2022 3:00:00,4/16/2022 3:49:27,459,Completed
367588,1460215,4/10/2022 3:00:00,4/22/2022 3:00:00,4/22/2022 3:37:47,457,Completed
367589,1460097,4/10/2022 6:00:00,4/17/2022 6:00:00,4/17/2022 6:44:57,471,Completed
367590,1455302,4/10/2022 12:00:00,4/25/2022 12:00:00,4/25/2022 12:30:01,442,Completed
367591,1461680,4/10/2022 12:00:00,4/23/2022 12:00:00,,454,Rescheduled
367592,1462409,4/10/2022 12:00:00,4/11/2022 12:00:00,4/11/2022 12:40:00,446,Completed
367593,1474369,4/11/2022 1:30:00,4/24/2022 1:30:00,4/24/2022 2:02:01,436,Completed
367594,1456368,4/12/2022 1:30:00,4/18/2022 1:30:00,4/18/2022 2:05:46,460,Completed
367595,1456070,4/13/2022 1:30:00,4/23/2022 1:30:00,4/23/2022 2:02:35,456,Completed
367596,1460006,4/13/2022 1:30:00,4/23/2022 1:30:00,4/23/2022 2:01:59,473,Completed
367597,1461970,4/14/2022 1:30:00,4/26/2022 1:30:00,4/26/2022 2:01:47,467,Completed
367598,1463639,4/14/2022 6:00:00,4/27/2022 6:00:00,4/27/2022 6:56:14,464,Completed
367599,1455858,4/16/2022 1:30:00,4/28/2022 1:30:00,4/28/2022 2:15:48,467,Completed
367600,1457333,4/17/2022 1:30:00,4/30/2022 1:30:00,4/30/2022 2:10:22,465,Completed
367601,1460006,4/17/2022 3:00:00,4/28/2022 3:00:00,4/28/2022 3:36:45,473,Completed
367602,1456770,4/17/2022 6:00:00,4/26/2022 6:00:00,4/26/2022 6:49:39,472,Completed
367603,1456770,4/17/2022 12:00:00,5/1/2022 12:00:00,5/1/2022 12:42:15,472,Completed
367604,1460405,4/18/2022 3:00:00,4/29/2022 3:00:00,4/29/2022 3:38:50,437,Completed
367605,1463698,4/19/2022 1:30:00,4/22/2022 1:30:00,4/22/2022 2:17:38,449,Completed
367606,1457333,4/19/2022 6:00:00,5/2/2022 6:00:00,5/2/2022 6:47:08,465,Completed
367607,1455302,4/20/2022 12:00:00,4/27/2022 12:00:00,4/27/2022 12:51:04,442,Completed
367608,1455302,4/20/2022 12:00:00,5/2/2022 12:00:00,5/2/2022 12:58:54,442,Completed
367609,1460006,4/21/2022 3:00:00,5/3/2022 3:00:00,5/3/2022 3:45:50,473,Completed
367610,1465330,4/21/2022 3:00:00,4/27/2022 3:00:00,4/27/2022 3:39:11,470,Completed
367611,1457452,4/21/2022 6:00:00,5/6/2022 6:00:00,5/6/2022 6:56:11,458,Completed
367612,1474369,4/21/2022 6:00:00,5/4/2022 6:00:00,5/4/2022 6:59:06,436,Completed
367613,1459531,4/21/2022 12:00:00,5/2/2022 12:00:00,5/2/2022 12:31:45,446,Completed
367614,1455507,4/22/2022 1:30:00,5/2/2022 1:30:00,5/2/2022 2:08:15,437,Completed
367615,1474556,4/22/2022 6:00:00,4/27/2022 6:00:00,4/27/2022 6:33:40,465,Completed
367616,1460215,4/23/2022 1:30:00,5/2/2022 1:30:00,5/2/2022 2:21:59,457,Completed
367617,1464318,4/23/2022 12:00:00,4/27/2022 12:00:00,4/27/2022 12:42:01,455,Completed
367618,1456070,4/25/2022 1:30:00,5/6/2022 1:30:00,5/6/2022 2:17:54,456,Completed
367619,1462409,4/25/2022 3:00:00,5/7/2022 3:00:00,5/7/2022 3:52:30,446,Completed
367620,1458088,4/25/2022 12:00:00,4/30/2022 12:00:00,4/30/2022 12:48:08,451,Completed
367621,1460405,4/26/2022 3:00:00,5/11/2022 3:00:00,,437,Cancelled
367622,1458533,4/26/2022 6:00:00,4/28/2022 6:00:00,4/28/2022 6:30:58,438,Completed
367623,1458088,4/27/2022 1:30:00,5/12/2022 1:30:00,5/12/2022 2:07:20,451,Completed
367624,1464731,4/27/2022 1:30:00,5/7/2022 1:30:00,5/7/2022 2:13:38,456,Completed
367625,1461970,4/27/2022 3:00:00,4/28/2022 3:00:00,4/28/2022 3:59:51,467,Completed
367626,1459255,4/28/2022 1:30:00,5/4/2022 1:30:00,5/4/2022 2:11:52,459,Completed
367627,1458518,4/28/2022 3:00:00,5/11/2022 3:00:00,,468,No show
367628,1460006,4/28/2022 6:00:00,5/4/2022 6:00:00,5/4/2022 6:41:52,473,Completed
367629,1458533,4/29/2022 1:30:00,5/7/2022 1:30:00,5/7/2022 2:20:48,438,Completed
367630,1461680,4/29/2022 1:30:00,5/8/2022 1:30:00,5/8/2022 2:21:29,454,Completed
367631,1461789,4/29/2022 6:00:00,5/9/2022 6:00:00,5/9/2022 6:59:52,442,Completed
367632,1458016,4/29/2022 12:00:00,4/30/2022 12:00:00,4/30/2022 12:50:02,451,Completed
367633,1460405,4/29/2022 12:00:00,5/14/2022 12:00:00,5/14/2022 12:56:23,437,Completed
367634,1460373,4/30/2022 3:00:00,5/14/2022 3:00:00,5/14/2022 3:32:45,463,Completed
367635,1455302,5/1/2022 1:30:00,5/3/2022 1:30:00,5/3/2022 2:27:34,442,Completed
367636,1463698,5/2/2022 3:00:00,5/9/2022 3:00:00,5/9/2022 3:30:13,449,Completed
367637,1459255,5/3/2022 3:00:00,5/8/2022 3:00:00,5/8/2022 3:45:40,459,Completed
367638,1468285,5/3/2022 3:00:00,5/13/2022 3:00:00,5/13/2022 3:31:10,448,Completed
367639,1456368,5/3/2022 6:00:00,5/9/2022 6:00:00,5/9/2022 6:42:23,460,Completed
367640,1455302,5/4/2022 1:30:00,5/15/2022 1:30:00,5/15/2022 2:04:14,442,Completed
367641,1457452,5/4/2022 6:00:00,5/14/2022 6:00:00,5/14/2022 6:47:57,458,Completed
367642,1457333,5/5/2022 1:30:00,5/17/2022 1:30:00,5/17/2022 2:17:18,465,Completed
367643,1458016,5/5/2022 3:00:00,5/6/2022 3:00:00,5/6/2022 3:35:14,451,Completed
367644,1461680,5/5/2022 6:00:00,5/18/2022 6:00:00,5/18/2022 6:35:46,454,Completed
367645,1469125,5/5/2022 6:00:00,5/15/2022 6:00:00,5/15/2022 6:32:09,465,Completed
367646,1473144,5/5/2022 6:00:00,5/10/2022 6:00:00,5/10/2022 6:35:22,466,Completed
367647,1459255,5/6/2022 3:00:00,5/10/2022 3:00:00,5/10/2022 3:52:52,459,Completed
367648,1461970,5/6/2022 6:00:00,5/10/2022 6:00:00,5/10/2022 6:56:32,467,Completed
367649,1464731,5/7/2022 3:00:00,5/20/2022 3:00:00,5/20/2022 3:37:14,456,Completed
367650,1458088,5/7/2022 6:00:00,5/16/2022 6:00:00,5/16/2022 6:32:34,451,Completed
367651,1459255,5/7/2022 6:00:00,5/22/2022 6:00:00,5/22/2022 6:56:40,459,Completed
367652,1463639,5/7/2022 6:00:00,5/16/2022 6:00:00,5/16/2022 6:43:17,464,Completed
367653,1456368,5/7/2022 12:00:00,5/21/2022 12:00:00,5/21/2022 12:47:44,460,Completed
367654,1460373,5/8/2022 1:30:00,5/18/2022 1:30:00,5/18/2022 2:14:55,463,Completed
367655,1461680,5/8/2022 12:00:00,5/20/2022 12:00:00,,454,Cancelled
367656,1458088,5/9/2022 12:00:00,5/20/2022 12:00:00,5/20/2022 12:38:48,451,Completed
367657,1460405,5/9/2022 12:00:00,5/15/2022 12:00:00,,437,Rescheduled
367658,1461970,5/10/2022 3:00:00,5/21/2022 3:00:00,5/21/2022 3:46:28,467,Completed
367659,1465430,5/10/2022 3:00:00,5/25/2022 3:00:00,5/25/2022 3:37:00,457,Completed
367660,1455302,5/10/2022 6:00:00,5/15/2022 6:00:00,5/15/2022 6:50:01,442,Completed
367661,1475002,5/10/2022 6:00:00,5/15/2022 6:00:00,5/15/2022 6:52:03,447,Completed
367662,1458518,5/10/2022 12:00:00,5/24/2022 12:00:00,5/24/2022 12:46:07,468,Completed
367663,1467425,5/11/2022 1:30:00,5/21/2022 1:30:00,5/21/2022 2:13:40,466,Completed
367664,1462409,5/11/2022 6:00:00,5/22/2022 6:00:00,5/22/2022 6:30:24,446,Completed
367665,1458533,5/12/2022 1:30:00,5/19/2022 1:30:00,5/19/2022 2:25:16,438,Completed
367666,1459531,5/12/2022 12:00:00,5/26/2022 12:00:00,5/26/2022 12:55:23,446,Completed
367667,1460215,5/12/2022 12:00:00,5/27/2022 12:00:00,5/27/2022 12:57:17,457,Completed
367668,1460867,5/12/2022 12:00:00,5/14/2022 12:00:00,5/14/2022 12:50:53,466,Completed
367669,1461970,5/13/2022 3:00:00,5/26/2022 3:00:00,5/26/2022 3:30:35,467,Completed
367670,1462409,5/13/2022 3:00:00,5/25/2022 3:00:00,5/25/2022 3:45:48,446,Completed
367671,1458016,5/13/2022 12:00:00,5/17/2022 12:00:00,5/17/2022 12:52:14,451,Completed
367672,1459531,5/14/2022 3:00:00,5/28/2022 3:00:00,5/28/2022 3:41:50,446,Completed
367673,1464731,5/14/2022 6:00:00,5/21/2022 6:00:00,5/21/2022 6:34:11,456,Completed
367674,1460097,5/14/2022 12:00:00,5/17/2022 12:00:00,5/17/2022 12:39:50,471,Completed
367675,1461789,5/14/2022 12:00:00,5/21/2022 12:00:00,5/21/2022 12:30:54,442,Completed
367676,1455302,5/15/2022 3:00:00,5/20/2022 3:00:00,5/20/2022 3:41:53,442,Completed
367677,1471739,5/15/2022 6:00:00,5/27/2022 6:00:00,5/27/2022 6:48:41,462,Completed
367678,1474892,5/15/2022 12:00:00,5/30/2022 12:00:00,5/30/2022 12:52:46,473,Completed
367679,1460097,5/16/2022 3:00:00,5/21/2022 3:00:00,5/21/2022 3:59:48,471,Completed
367680,1470591,5/16/2022 6:00:00,5/21/2022 6:00:00,5/21/2022 6:42:11,461,Completed
367681,1455302,5/17/2022 1:30:00,5/26/2022 1:30:00,5/26/2022 2:19:54,442,Completed
367682,1464627,5/17/2022 1:30:00,5/30/2022 1:30:00,5/30/2022 2:12:14,438,Completed
367683,1475907,5/17/2022 3:00:00,6/1/2022 3:00:00,6/1/2022 3:53:28,459,Completed
367684,1458088,5/17/2022 6:00:00,5/26/2022 6:00:00,5/26/2022 6:54:38,451,Completed
367685,1458533,5/17/2022 12:00:00,5/29/2022 12:00:00,5/29/2022 12:31:51,438,Completed
367686,1456770,5/18/2022 3:00:00,5/29/2022 3:00:00,5/29/2022 3:30:22,472,Completed
367687,1458518,5/18/2022 12:00:00,5/26/2022 12:00:00,5/26/2022 12:59:58,468,Completed
367688,1457333,5/19/2022 1:30:00,5/20/2022 1:30:00,5/20/2022 2:02:54,465,Completed
367689,1457333,5/19/2022 12:00:00,5/24/2022 12:00:00,5/24/2022 12:38:42,465,Completed
367690,1460867,5/20/2022 6:00:00,5/28/2022 6:00:00,5/28/2022 6:53:54,466,Completed
367691,1455507,5/21/2022 6:00:00,5/30/2022 6:00:00,5/30/2022 6:55:08,437,Completed
367692,1464318,5/21/2022 6:00:00,5/23/2022 6:00:00,5/23/2022 6:43:48,455,Completed
367693,1472821,5/22/2022 3:00:00,5/28/2022 3:00:00,5/28/2022 3:56:19,462,Completed
367694,1459531,5/22/2022 6:00:00,5/30/2022 6:00:00,5/30/2022 6:43:23,446,Completed
367695,1460867,5/22/2022 12:00:00,6/3/2022 12:00:00,6/3/2022 12:54:05,466,Completed
367696,1464318,5/23/2022 3:00:00,6/6/2022 3:00:00,6/6/2022 3:50:41,455,Completed
367697,1468285,5/23/2022 3:00:00,6/2/2022 3:00:00,6/2/2022 3:50:38,448,Completed
367698,1463639,5/23/2022 6:00:00,5/24/2022 6:00:00,5/24/2022 6:34:32,464,Completed
367699,1460006,5/23/2022 12:00:00,6/4/2022 12:00:00,6/4/2022 12:31:09,473,Completed
367700,1460097,5/24/2022 1:30:00,6/5/2022 1:30:00,6/5/2022 2:06:11,471,Completed
367701,1470530,5/24/2022 1:30:00,6/2/2022 1:30:00,6/2/2022 2:06:56,467,Completed
367702,1461680,5/24/2022 3:00:00,6/7/2022 3:00:00,6/7/2022 3:40:43,454,Completed
367703,1458533,5/24/2022 6:00:00,6/2/2022 6:00:00,6/2/2022 6:41:52,438,Completed
367704,1463639,5/24/2022 6:00:00,5/31/2022 6:00:00,5/31/2022 6:49:06,464,Completed
367705,1464731,5/24/2022 6:00:00,6/2/2022 6:00:00,6/2/2022 7:00:00,456,Completed
367706,1456070,5/25/2022 1:30:00,5/26/2022 1:30:00,5/26/2022 2:14:50,456,Completed
367707,1467431,5/25/2022 1:30:00,5/31/2022 1:30:00,5/31/2022 2:07:31,457,Completed
367708,1457452,5/25/2022 6:00:00,6/6/2022 6:00:00,6/6/2022 6:31:35,458,Completed
367709,1463639,5/25/2022 6:00:00,6/7/2022 6:00:00,6/7/2022 6:58:48,464,Completed
367710,1460405,5/25/2022 12:00:00,5/31/2022 12:00:00,5/31/2022 12:47:27,437,Completed
367711,1461789,5/27/2022 1:30:00,5/31/2022 1:30:00,5/31/2022 2:23:21,442,Completed
367712,1467431,5/27/2022 1:30:00,6/9/2022 1:30:00,6/9/2022 2:00:26,457,Completed
367713,1476301,5/27/2022 3:00:00,6/2/2022 3:00:00,6/2/2022 3:34:44,472,Completed
367714,1460373,5/28/2022 6:00:00,5/29/2022 6:00:00,5/29/2022 6:44:12,463,Completed
367715,1464627,5/28/2022 6:00:00,6/7/2022 6:00:00,6/7/2022 6:47:43,438,Completed
367716,1460405,5/28/2022 12:00:00,6/10/2022 12:00:00,6/10/2022 12:36:48,437,Completed
367717,1471739,5/29/2022 1:30:00,6/7/2022 1:30:00,6/7/2022 2:29:10,462,Completed
367718,1461680,5/29/2022 3:00:00,6/10/2022 3:00:00,6/10/2022 3:59:28,454,Completed
367719,1465430,5/29/2022 6:00:00,6/11/2022 6:00:00,6/11/2022 6:52:16,457,Completed
367720,1463698,5/30/2022 1:30:00,6/3/2022 1:30:00,6/3/2022 2:11:36,449,Completed
367721,1456368,5/30/2022 3:00:00,6/3/2022 3:00:00,6/3/2022 3:32:53,460,Completed
367722,1461789,5/30/2022 12:00:00,5/31/2022 12:00:00,5/31/2022 12:33:09,442,Completed
367723,1471421,5/30/2022 12:00:00,6/9/2022 12:00:00,,454,No show
367724,1457333,5/31/2022 3:00:00,6/14/2022 3:00:00,6/14/2022 3:54:49,465,Completed
367725,1462409,6/1/2022 1:30:00,6/7/2022 1:30:00,6/7/2022 2:04:50,446,Completed
367726,1474892,6/1/2022 1:30:00,6/6/2022 1:30:00,6/6/2022 2:06:53,473,Completed
367727,1470591,6/1/2022 6:00:00,6/16/2022 6:00:00,6/16/2022 6:53:47,461,Completed
367728,1475738,6/1/2022 6:00:00,6/7/2022 6:00:00,6/7/2022 6:36:48,436,Completed
367729,1462409,6/2/2022 1:30:00,6/16/2022 1:30:00,6/16/2022 2:03:35,446,Completed
367730,1460006,6/3/2022 1:30:00,6/5/2022 1:30:00,6/5/2022 2:03:50,473,Completed
367731,1472620,6/3/2022 1:30:00,6/12/2022 1:30:00,6/12/2022 2:02:41,465,Completed
367732,1473851,6/3/2022 6:00:00,6/5/2022 6:00:00,6/5/2022 6:44:07,474,Completed
367733,1459531,6/4/2022 1:30:00,6/13/2022 1:30:00,6/13/2022 2:17:00,446,Completed
367734,1460097,6/4/2022 3:00:00,6/12/2022 3:00:00,6/12/2022 3:31:25,471,Completed
367735,1460405,6/4/2022 6:00:00,6/19/2022 6:00:00,6/19/2022 6:37:07,437,Completed
367736,1467425,6/4/2022 6:00:00,6/19/2022 6:00:00,6/19/2022 6:35:16,466,Completed
367737,1460867,6/4/2022 12:00:00,6/10/2022 12:00:00,,466,Rescheduled
367738,1464731,6/4/2022 12:00:00,6/6/2022 12:00:00,6/6/2022 12:41:52,456,Completed
367739,1474737,6/5/2022 1:30:00,6/11/2022 1:30:00,6/11/2022 2:09:03,438,Completed
367740,1459255,6/5/2022 6:00:00,6/6/2022 6:00:00,6/6/2022 6:49:47,459,Completed
367741,1463698,6/6/2022 1:30:00,6/7/2022 1:30:00,6/7/2022 2:15:27,449,Completed
367742,1464318,6/6/2022 3:00:00,6/12/2022 3:00:00,6/12/2022 3:35:13,455,Completed
367743,1464318,6/6/2022 6:00:00,6/20/2022 6:00:00,6/20/2022 6:45:49,455,Completed
367744,1465430,6/6/2022 6:00:00,6/14/2022 6:00:00,6/14/2022 6:36:02,457,Completed
367745,1455858,6/6/2022 12:00:00,6/11/2022 12:00:00,6/11/2022 12:50:43,467,Completed
367746,1458088,6/6/2022 12:00:00,6/18/2022 12:00:00,6/18/2022 12:53:42,451,Completed
367747,1474737,6/7/2022 1:30:00,6/12/2022 1:30:00,6/12/2022 2:17:55,438,Completed
367748,1456070,6/7/2022 3:00:00,6/17/2022 3:00:00,6/17/2022 3:30:38,456,Completed
367749,1460373,6/7/2022 12:00:00,6/11/2022 12:00:00,6/11/2022 12:33:40,463,Completed
367750,1468285,6/7/2022 12:00:00,6/9/2022 12:00:00,6/9/2022 12:40:26,448,Completed
367751,1468285,6/7/2022 12:00:00,6/22/2022 12:00:00,6/22/2022 12:49:14,448,Completed
367752,1464731,6/8/2022 1:30:00,6/23/2022 1:30:00,6/23/2022 2:04:22,456,Completed
367753,1465330,6/8/2022 1:30:00,6/19/2022 1:30:00,6/19/2022 2:23:47,470,Completed
367754,1475002,6/8/2022 6:00:00,6/23/2022 6:00:00,6/23/2022 6:50:32,447,Completed
367755,1460097,6/8/2022 12:00:00,6/14/2022 12:00:00,6/14/2022 12:39:21,471,Completed
367756,1455302,6/9/2022 1:30:00,6/14/2022 1:30:00,6/14/2022 2:19:00,442,Completed
367757,1463639,6/9/2022 1:30:00,6/15/2022 1:30:00,6/15/2022 2:20:48,464,Completed
367758,1474892,6/9/2022 3:00:00,6/17/2022 3:00:00,6/17/2022 3:55:56,473,Completed
367759,1479851,6/9/2022 3:00:00,6/21/2022 3:00:00,6/21/2022 3:57:33,465,Completed
367760,1472821,6/9/2022 6:00:00,6/17/2022 6:00:00,6/17/2022 6:54:42,462,Completed
367761,1463698,6/9/2022 12:00:00,6/19/2022 12:00:00,6/19/2022 12:44:37,449,Completed
367762,1460097,6/10/2022 1:30:00,6/25/2022 1:30:00,6/25/2022 2:04:18,471,Completed
367763,1470626,6/10/2022 1:30:00,6/22/2022 1:30:00,6/22/2022 2:22:41,442,Completed
367764,1471421,6/10/2022 1:30:00,6/19/2022 1:30:00,6/19/2022 2:19:25,454,Completed
367765,1455302,6/10/2022 6:00:00,6/17/2022 6:00:00,6/17/2022 6:31:18,442,Completed
367766,1460373,6/10/2022 12:00:00,6/15/2022 12:00:00,6/15/2022 12:32:24,463,Completed
367767,1474369,6/11/2022 1:30:00,6/17/2022 1:30:00,6/17/2022 2:07:26,436,Completed
367768,1455507,6/11/2022 3:00:00,6/21/2022 3:00:00,6/21/2022 3:48:14,437,Completed
367769,1460373,6/11/2022 3:00:00,6/25/2022 3:00:00,6/25/2022 3:55:29,463,Completed
367770,1465430,6/11/2022 3:00:00,6/26/2022 3:00:00,6/26/2022 3:56:22,457,Completed
367771,1460215,6/11/2022 6:00:00,6/16/2022 6:00:00,6/16/2022 6:39:05,457,Completed
367772,1463639,6/11/2022 12:00:00,6/16/2022 12:00:00,6/16/2022 12:56:36,464,Completed
367773,1463639,6/12/2022 1:30:00,6/24/2022 1:30:00,6/24/2022 2:09:31,464,Completed
367774,1457452,6/12/2022 3:00:00,6/14/2022 3:00:00,6/14/2022 3:37:32,458,Completed
367775,1461970,6/12/2022 3:00:00,6/21/2022 3:00:00,6/21/2022 3:59:46,467,Completed
367776,1472821,6/12/2022 3:00:00,6/22/2022 3:00:00,6/22/2022 3:58:33,462,Completed
367777,1460373,6/12/2022 6:00:00,6/25/2022 6:00:00,6/25/2022 6:36:35,463,Completed
367778,1467431,6/12/2022 6:00:00,6/23/2022 6:00:00,6/23/2022 6:41:10,457,Completed
367779,1473598,6/12/2022 12:00:00,6/15/2022 12:00:00,6/15/2022 12:47:03,452,Completed
367780,1474556,6/12/2022 12:00:00,6/18/2022 12:00:00,6/18/2022 12:32:18,465,Completed
367781,1461680,6/13/2022 6:00:00,6/26/2022 6:00:00,6/26/2022 6:44:37,454,Completed
367782,1474892,6/13/2022 12:00:00,6/26/2022 12:00:00,6/26/2022 12:36:03,473,Completed
367783,1482170,6/13/2022 12:00:00,6/17/2022 12:00:00,6/17/2022 12:46:16,461,Completed
367784,1462409,6/14/2022 1:30:00,6/26/2022 1:30:00,6/26/2022 2:28:28,446,Completed
367785,1464731,6/14/2022 1:30:00,6/28/2022 1:30:00,6/28/2022 2:04:32,456,Completed
367786,1475907,6/14/2022 1:30:00,6/18/2022 1:30:00,6/18/2022 2:29:47,459,Completed
367787,1471739,6/14/2022 3:00:00,6/24/2022 3:00:00,6/24/2022 3:54:16,462,Completed
367788,1463706,6/14/2022 6:00:00,6/19/2022 6:00:00,6/19/2022 6:56:53,453,Completed
367789,1460867,6/16/2022 1:30:00,6/23/2022 1:30:00,6/23/2022 2:29:21,466,Completed
367790,1463706,6/16/2022 1:30:00,6/30/2022 1:30:00,6/30/2022 2:21:21,453,Completed
367791,1475002,6/16/2022 3:00:00,6/29/2022 3:00:00,6/29/2022 3:36:56,447,Completed
367792,1472620,6/16/2022 12:00:00,6/17/2022 12:00:00,6/17/2022 12:44:55,465,Completed
367793,1463639,6/17/2022 1:30:00,6/27/2022 1:30:00,6/27/2022 2:10:39,464,Completed
367794,1455858,6/17/2022 3:00:00,6/29/2022 3:00:00,6/29/2022 3:55:37,467,Completed
367795,1474556,6/17/2022 3:00:00,6/30/2022 3:00:00,6/30/2022 3:40:18,465,Completed
367796,1476541,6/17/2022 3:00:00,6/18/2022 3:00:00,6/18/2022 3:45:50,449,Completed
367797,1473144,6/18/2022 1:30:00,6/24/2022 1:30:00,6/24/2022 2:14:39,466,Completed
367798,1464731,6/18/2022 3:00:00,7/3/2022 3:00:00,7/3/2022 3:32:06,456,Completed
367799,1465330,6/19/2022 1:30:00,7/2/2022 1:30:00,7/2/2022 2:28:28,470,Completed
367800,1474737,6/19/2022 1:30:00,6/25/2022 1:30:00,6/25/2022 2:19:53,438,Completed
367801,1455507,6/19/2022 3:00:00,6/29/2022 3:00:00,6/29/2022 3:30:26,437,Completed
367802,1461970,6/19/2022 3:00:00,6/25/2022 3:00:00,6/25/2022 3:51:48,467,Completed
367803,1461789,6/19/2022 6:00:00,7/1/2022 6:00:00,7/1/2022 6:40:31,442,Completed
367804,1460097,6/20/2022 3:00:00,7/4/2022 3:00:00,7/4/2022 3:56:51,471,Completed
367805,1476541,6/21/2022 1:30:00,7/1/2022 1:30:00,7/1/2022 2:13:53,449,Completed
367806,1482250,6/21/2022 1:30:00,7/5/2022 1:30:00,7/5/2022 2:11:26,473,Completed
367807,1471739,6/21/2022 3:00:00,7/3/2022 3:00:00,7/3/2022 3:35:42,462,Completed
367808,1478701,6/21/2022 3:00:00,6/26/2022 3:00:00,6/26/2022 3:37:22,450,Completed
367809,1471693,6/21/2022 12:00:00,6/28/2022 12:00:00,6/28/2022 12:50:31,472,Completed
367810,1457333,6/22/2022 1:30:00,7/2/2022 1:30:00,7/2/2022 2:19:20,465,Completed
367811,1458088,6/22/2022 3:00:00,6/26/2022 3:00:00,,451,No show
367812,1468285,6/22/2022 6:00:00,7/3/2022 6:00:00,,448,Cancelled
367813,1470591,6/22/2022 6:00:00,6/30/2022 6:00:00,6/30/2022 6:34:31,461,Completed
